"up"	"dbcode"	"pdbct"	"phmin"	"phmax"	"nonpolyct"	"phrange"	"name"
"http://purl.uniprot.org/uniprot/A0R066"	"A0R066_MYCS2"	3	5.5	5.5	5	0	"Branched-chain-amino-acid aminotransferase"
"http://purl.uniprot.org/uniprot/A0R2B1"	"KGD_MYCS2"	12	6.5	7.6	11	1.1	"Multifunctional 2-oxoglutarate metabolism enzyme"
"http://purl.uniprot.org/uniprot/A0R2U9"	"A0R2U9_MYCS2"	2	NA	NA	1	NA	NA
"http://purl.uniprot.org/uniprot/A0R3D3"	"PTH_MYCS2"	4	7.5	7.5	5	0	"Peptidyl-tRNA hydrolase"
"http://purl.uniprot.org/uniprot/A0R3E2"	"A0R3E2_MYCS2"	2	7	7	5	0	"Methionine--tRNA ligase"
"http://purl.uniprot.org/uniprot/A0R3F9"	"PAT_MYCS2"	3	6.5	6.5	4	0	"Acetyltransferase Pat"
"http://purl.uniprot.org/uniprot/A0R3J1"	"A0R3J1_MYCS2"	2	6.5	8.5	6	2	NA
"http://purl.uniprot.org/uniprot/A0R4Q6"	"A0R4Q6_MYCS2"	2	6	6.5	7	0.5	"Steroid C26-monooxygenase"
"http://purl.uniprot.org/uniprot/A0R560"	"A0R560_MYCS2"	2	NA	NA	4	NA	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase"
"http://purl.uniprot.org/uniprot/A0R5B5"	"A0R5B5_MYCS2"	2	6.5	8.5	7	2	NA
"http://purl.uniprot.org/uniprot/A0R5M8"	"EGTD_MYCS2"	3	9	9	6	0	"Histidine N-alpha-methyltransferase"
"http://purl.uniprot.org/uniprot/A0R5U2"	"A0R5U2_MYCS2"	2	7.4	7.5	8	0.0999999999999996	NA
"http://purl.uniprot.org/uniprot/A0R5U7"	"A0R5U7_MYCS2"	2	8	8	3	0	NA
"http://purl.uniprot.org/uniprot/A0R607"	"A0R607_MYCS2"	4	5.9	7.5	4	1.6	"Decaprenylphosphoryl-beta-D-ribose oxidase"
"http://purl.uniprot.org/uniprot/A0R6D0"	"A0R6D0_MYCS2"	2	8	8	5	0	"Nitroreductase NfnB"
"http://purl.uniprot.org/uniprot/A0R6E0"	"TRES_MYCS2"	2	NA	NA	5	NA	"Trehalose synthase/amylase TreS"
"http://purl.uniprot.org/uniprot/A0R6I8"	"A0R6I8_MYCS2"	2	7.5	8	1	0.5	NA
"http://purl.uniprot.org/uniprot/A0SP16"	"A0SP16_EMEND"	2	5.5	6.5	4	1	NA
"http://purl.uniprot.org/uniprot/A0T1L9"	"A0T1L9_SPOFR"	2	8	8	4	0	NA
"http://purl.uniprot.org/uniprot/A0YXD2"	"A0YXD2_LYNSP"	3	NA	NA	8	NA	NA
"http://purl.uniprot.org/uniprot/A1A2L3"	"A1A2L3_BIFAA"	2	4.6	4.71	7	0.11	NA
"http://purl.uniprot.org/uniprot/A1AC32"	"CMOB_ECOK1"	2	7.5	7.5	3	0	NA
"http://purl.uniprot.org/uniprot/A1AYL4"	"A1AYL4_PARDP"	2	7.5	7.5	4	0	NA
"http://purl.uniprot.org/uniprot/A1B060"	"A1B060_PARDP"	3	7.5	8.5	2	1	NA
"http://purl.uniprot.org/uniprot/A1B198"	"A1B198_PARDP"	3	6.5	7	7	0.5	"4-hydroxyproline betaine 2-epimerase"
"http://purl.uniprot.org/uniprot/A1B602"	"A1B602_PARDP"	2	NA	NA	0	NA	NA
"http://purl.uniprot.org/uniprot/A1BB97"	"A1BB97_PARDP"	27	6.2	6.4	16	0.2	NA
"http://purl.uniprot.org/uniprot/A1BBA0"	"A1BBA0_PARDP"	8	6.4	6.4	13	0	NA
"http://purl.uniprot.org/uniprot/A1BTJ7"	"A1BTJ7_TRYCR"	4	7	9	4	2	NA
"http://purl.uniprot.org/uniprot/A1CII2"	"A1CII2_ASPCL"	2	9	9	7	0	NA
"http://purl.uniprot.org/uniprot/A1DRD5"	"A1DRD5_9GAMM"	3	6.5	7	3	0.5	NA
"http://purl.uniprot.org/uniprot/A1E4A3"	"A1E4A3_9ENTO"	9	4.6	4.6	9	0	"Genome polyprotein"
"http://purl.uniprot.org/uniprot/A1E8J1"	"A1E8J1_PRRSV"	2	5.3	5.7	2	0.4	NA
"http://purl.uniprot.org/uniprot/A1E9A6"	"A1E9A6_9BACT"	2	5.9	5.9	3	0	NA
"http://purl.uniprot.org/uniprot/A1EKV2"	"A1EKV2_VIBCH"	2	NA	NA	2	NA	NA
"http://purl.uniprot.org/uniprot/A1IIJ1"	"A1IIJ1_THADA"	8	6.5	7.2	4	0.7	NA
"http://purl.uniprot.org/uniprot/A1ILL9"	"A1ILL9_I76A2"	3	7.5	7.5	6	0	"Neuraminidase"
"http://purl.uniprot.org/uniprot/A1JMF7"	"A1JMF7_YERE8"	2	NA	NA	3	NA	NA
"http://purl.uniprot.org/uniprot/A1JTG0"	"A1JTG0_YERE8"	2	7.3	8	5	0.7	NA
"http://purl.uniprot.org/uniprot/A1KVU8"	"A1KVU8_NEIMF"	3	NA	NA	3	NA	"Enoyl-[acyl-carrier-protein] reductase [NADH]"
"http://purl.uniprot.org/uniprot/A1L0Z0"	"MED1_XENTR"	6	7	7	9	0	"Mediator of RNA polymerase II transcription subunit 1"
"http://purl.uniprot.org/uniprot/A1L1Q4"	"A1L1Q4_DANRE"	2	6	6	8	0	NA
"http://purl.uniprot.org/uniprot/A1L259"	"A1L259_BRARE"	3	8.5	8.5	3	0	"2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase"
"http://purl.uniprot.org/uniprot/A1L4K2"	"A1L4K2_HUMAN"	12	5.5	6.5	9	1	NA
"http://purl.uniprot.org/uniprot/A1L565"	"A1L565_BOVIN"	2	NA	NA	5	NA	NA
"http://purl.uniprot.org/uniprot/A1R958"	"A1R958_ARTAT"	2	7.5	7.5	3	0	NA
"http://purl.uniprot.org/uniprot/A1RDF1"	"A1RDF1_ARTAT"	2	6	6	7	0	NA
"http://purl.uniprot.org/uniprot/A1S6W5"	"A1S6W5_SHEAM"	2	6.9	7.5	8	0.6	NA
"http://purl.uniprot.org/uniprot/A1SR01"	"CYAY_PSYIN"	3	4.8	4.8	3	0	"Protein CyaY"
"http://purl.uniprot.org/uniprot/A1W1R1"	"A1W1R1_CAMJJ"	7	5.6	10	5	4.4	NA
"http://purl.uniprot.org/uniprot/A1X1V8"	"A1X1V8_CARRO"	2	6.5	8.5	1	2	NA
"http://purl.uniprot.org/uniprot/A1X808"	"A1X808_CANPA"	3	7	7	5	0	NA
"http://purl.uniprot.org/uniprot/A1XQU3"	"RL14_PIG"	4	NA	NA	2	NA	"60S ribosomal protein L14"
"http://purl.uniprot.org/uniprot/A1XQU5"	"RL27_PIG"	4	NA	NA	2	NA	"60S ribosomal protein L27"
"http://purl.uniprot.org/uniprot/A1XQU9"	"RS20_PIG"	2	NA	NA	2	NA	"40S ribosomal protein S20"
"http://purl.uniprot.org/uniprot/A1YIY3"	"A1YIY3_9GAMM"	3	4.5	9.5	5	5	NA
"http://purl.uniprot.org/uniprot/A1Z651"	"POL_XMRV6"	3	5	8	5	3	"Gag-Pol polyprotein"
"http://purl.uniprot.org/uniprot/A2E7Y6"	"A2E7Y6_TRIVA"	2	8.5	8.5	4	0	NA
"http://purl.uniprot.org/uniprot/A2EGX9"	"A2EGX9_TRIVA"	9	5.6	6.5	2	0.9	"Triosephosphate isomerase"
"http://purl.uniprot.org/uniprot/A2I2U2"	"A2I2U2_CLOBO"	3	6.9	6.9	2	0	NA
"http://purl.uniprot.org/uniprot/A2IC68"	"A2IC68_ECOLX"	15	6.5	8.6	15	2.1	NA
"http://purl.uniprot.org/uniprot/A2ICH1"	"A2ICH1_THESJ"	3	5.6	5.6	5	0	NA
"http://purl.uniprot.org/uniprot/A2NAI0"	"A2NAI0_RAT"	6	7	7	2	0	NA
"http://purl.uniprot.org/uniprot/A2NHM3"	"A2NHM3_MOUSE"	8	4.5	8.7	6	4.2	NA
"http://purl.uniprot.org/uniprot/A2NTY6"	"A2NTY6_MOUSE"	7	6.5	8.5	2	2	NA
"http://purl.uniprot.org/uniprot/A2NUE8"	"A2NUE8_MOUSE"	2	5.5	5.5	3	0	NA
"http://purl.uniprot.org/uniprot/A2NVQ1"	"A2NVQ1_HUMAN"	2	7.5	7.5	8	0	NA
"http://purl.uniprot.org/uniprot/A2R2V4"	"A2R2V4_ASPNC"	4	5	9	2	4	NA
"http://purl.uniprot.org/uniprot/A2RI36"	"A2RI36_LACLM"	3	7	9	3	2	NA
"http://purl.uniprot.org/uniprot/A2RI47"	"THIT_LACLM"	2	7	7	11	0	"Thiamine transporter ThiT"
"http://purl.uniprot.org/uniprot/A2RJ53"	"A2RJ53_LACLM"	9	7	7	2	0	NA
"http://purl.uniprot.org/uniprot/A2RRK8"	"A2RRK8_MOUSE"	2	7	7	3	0	NA
"http://purl.uniprot.org/uniprot/A2RUC4"	"CB060_HUMAN"	2	8	8	3	0	"tRNA wybutosine-synthesizing protein 5"
"http://purl.uniprot.org/uniprot/A2T075"	"A2T075_RVFV"	2	6.2	6.2	4	0	NA
"http://purl.uniprot.org/uniprot/A2TC87"	"A2TC87_SPHYA"	2	6.8	6.8	6	0	NA
"http://purl.uniprot.org/uniprot/A2TC88"	"A2TC88_SPHYA"	2	6.8	6.8	6	0	NA
"http://purl.uniprot.org/uniprot/A2TLS9"	"A2TLS9_BIFLO"	2	7	7	3	0	NA
"http://purl.uniprot.org/uniprot/A2V759"	"A2V759_9BACL"	2	5.8	5.8	4	0	NA
"http://purl.uniprot.org/uniprot/A2VA43"	"A2VA43_9ACTN"	3	6.5	8	6	1.5	NA
"http://purl.uniprot.org/uniprot/A2VLK3"	"A2VLK3_MYCTU"	5	NA	NA	6	NA	NA
"http://purl.uniprot.org/uniprot/A3CWV0"	"A3CWV0_METMJ"	3	3.6	3.6	0	0	NA
"http://purl.uniprot.org/uniprot/A3DCH2"	"A3DCH2_CLOTH"	3	5.1	6.2	5	1.1	"Glucanase"
"http://purl.uniprot.org/uniprot/A3DCJ4"	"A3DCJ4_CLOTH"	2	4.6	4.6	4	0	NA
"http://purl.uniprot.org/uniprot/A3DCU1"	"A3DCU1_CLOTH"	2	5.2	5.4	1	0.2	NA
"http://purl.uniprot.org/uniprot/A3DD67"	"A3DD67_CLOTH"	5	4.5	4.5	5	0	NA
"http://purl.uniprot.org/uniprot/A3DEX4"	"A3DEX4_CLOTH"	2	4.5	8.5	6	4	NA
"http://purl.uniprot.org/uniprot/A3DFK9"	"A3DFK9_CLOTH"	2	NA	NA	5	NA	NA
"http://purl.uniprot.org/uniprot/A3DHG6"	"A3DHG6_CLOTH"	3	6.5	7	6	0.5	NA
"http://purl.uniprot.org/uniprot/A3DIL8"	"A3DIL8_CLOTH"	4	7	7.5	5	0.5	NA
"http://purl.uniprot.org/uniprot/A3DJ21"	"A3DJ21_CLOTH"	3	NA	NA	3	NA	NA
"http://purl.uniprot.org/uniprot/A3DJ30"	"A3DJ30_CLOTH"	3	5	5.6	5	0.6	NA
"http://purl.uniprot.org/uniprot/A3DJ37"	"A3DJ37_CLOTH"	5	5.5	7.75	4	2.25	NA
"http://purl.uniprot.org/uniprot/A3DJ38"	"A3DJ38_CLOTH"	16	5	7.75	20	2.75	NA
"http://purl.uniprot.org/uniprot/A3DJS9"	"A3DJS9_CLOTH"	2	NA	NA	3	NA	NA
"http://purl.uniprot.org/uniprot/A3DK57"	"A3DK57_CLOTH"	2	7.5	7.5	5	0	NA
"http://purl.uniprot.org/uniprot/A3DQM7"	"A3DQM7_9INFB"	2	8.5	8.5	2	0	"Hemagglutinin"
"http://purl.uniprot.org/uniprot/A3E7Z7"	"A3E7Z7_9TRAC"	2	6.5	6.5	4	0	NA
"http://purl.uniprot.org/uniprot/A3EYF7"	"A3EYF7_9RHIZ"	5	NA	NA	9	NA	NA
"http://purl.uniprot.org/uniprot/A3F986"	"A3F986_9HIV1"	3	4.8	7.5	2	2.7	"Envelope glycoprotein gp160"
"http://purl.uniprot.org/uniprot/A3F9D6"	"A3F9D6_CAPHI"	19	4.6	8.2	29	3.6	NA
"http://purl.uniprot.org/uniprot/A3FJ64"	"AHLL_BACTU"	2	8.5	8.5	4	0	"N-acyl homoserine lactonase"
"http://purl.uniprot.org/uniprot/A3FNZ8"	"A3FNZ8_9ROSI"	2	7.5	8.5	4	1	"Glutathione peroxidase"
"http://purl.uniprot.org/uniprot/A3FQ16"	"A3FQ16_CRYPV"	5	5.5	7.6	9	2.1	NA
"http://purl.uniprot.org/uniprot/A3FQ68"	"A3FQ68_CRYPV"	2	7	8.5	5	1.5	"Peptidyl-prolyl cis-trans isomerase"
"http://purl.uniprot.org/uniprot/A3FQA7"	"A3FQA7_CRYPV"	2	3.5	5.5	1	2	"Peptidyl-prolyl cis-trans isomerase"
"http://purl.uniprot.org/uniprot/A3KUJ4"	"A3KUJ4_PSEAE"	3	4.6	5	1	0.4	NA
"http://purl.uniprot.org/uniprot/A3LHH1"	"A3LHH1_PSEAI"	4	6.9	7.2	12	0.3	NA
"http://purl.uniprot.org/uniprot/A3LT82"	"A3LT82_PICST"	5	7	7	7	0	NA
"http://purl.uniprot.org/uniprot/A3M4Z0"	"KDSB_ACIBT"	2	5.5	6.5	1	1	"3-deoxy-manno-octulosonate cytidylyltransferase"
"http://purl.uniprot.org/uniprot/A3M692"	"AROQ_ACIBT"	2	8	8.5	2	0.5	"3-dehydroquinate dehydratase"
"http://purl.uniprot.org/uniprot/A3MSH1"	"A3MSH1_PYRCJ"	3	5.5	7.5	7	2	NA
"http://purl.uniprot.org/uniprot/A3MU08"	"A3MU08_PYRCJ"	3	4.5	4.6	4	0.0999999999999996	NA
"http://purl.uniprot.org/uniprot/A3MUJ4"	"A3MUJ4_PYRCJ"	3	6.6	8	4	1.4	NA
"http://purl.uniprot.org/uniprot/A3MWN5"	"A3MWN5_PYRCJ"	2	6	6	2	0	NA
"http://purl.uniprot.org/uniprot/A3N294"	"A3N294_ACTP2"	4	6	6.5	11	0.5	NA
"http://purl.uniprot.org/uniprot/A3PUQ5"	"A3PUQ5_MYCSJ"	3	6.4	6.6	2	0.199999999999999	NA
"http://purl.uniprot.org/uniprot/A3QAV3"	"A3QAV3_SHELP"	4	4.7	4.7	4	0	NA
"http://purl.uniprot.org/uniprot/A3QCW5"	"A3QCW5_SHELP"	2	7.5	7.5	5	0	"Solute-binding protein Shew_1446"
"http://purl.uniprot.org/uniprot/A3SNF7"	"A3SNF7_9RHOB"	2	7.5	7.5	3	0	NA
"http://purl.uniprot.org/uniprot/A3SNG0"	"A3SNG0_9RHOB"	2	7	7.5	3	0.5	NA
"http://purl.uniprot.org/uniprot/A4AFX2"	"A4AFX2_9ACTN"	3	7.5	7.5	6	0	NA
"http://purl.uniprot.org/uniprot/A4CYJ6"	"A4CYJ6_9CNID"	2	5.5	6.5	6	1	NA
"http://purl.uniprot.org/uniprot/A4D0H5"	"A4D0H5_9ACTO"	3	6.2	6.2	5	0	NA
"http://purl.uniprot.org/uniprot/A4F1R4"	"A4F1R4_CLITE"	4	5.6	5.6	6	0	"Glycosyltransferase"
"http://purl.uniprot.org/uniprot/A4GRE3"	"A4GRE3_9BILA"	3	5.6	8	7	2.4	NA
"http://purl.uniprot.org/uniprot/A4HCL7"	"A4HCL7_LEIBR"	2	4.4	8.5	0	4.1	NA
"http://purl.uniprot.org/uniprot/A4HFB4"	"A4HFB4_LEIBR"	2	7.5	7.5	2	0	NA
"http://purl.uniprot.org/uniprot/A4HSF7"	"A4HSF7_LEIIN"	6	7.5	8.5	11	1	NA
"http://purl.uniprot.org/uniprot/A4IK89"	"HUTP_GEOTN"	2	9.5	9.5	3	0	"Hut operon positive regulatory protein"
"http://purl.uniprot.org/uniprot/A4IKE6"	"A4IKE6_GEOTN"	2	5.5	7	5	1.5	NA
"http://purl.uniprot.org/uniprot/A4IKE7"	"A4IKE7_GEOTN"	3	4.6	4.6	5	0	"ESX secretion system protein EccC"
"http://purl.uniprot.org/uniprot/A4IL26"	"A4IL26_GEOTN"	8	4.5	4.5	11	0	NA
"http://purl.uniprot.org/uniprot/A4IMB4"	"A4IMB4_GEOTN"	2	7	7.5	2	0.5	"Site-determining protein"
"http://purl.uniprot.org/uniprot/A4IQU1"	"A4IQU1_GEOTN"	8	9	9	7	0	NA
"http://purl.uniprot.org/uniprot/A4IU28"	"A4IU28_GEOTN"	2	6.5	8	2	1.5	NA
"http://purl.uniprot.org/uniprot/A4JBA9"	"A4JBA9_BURVG"	2	6.5	6.5	5	0	"Dephospho-CoA kinase"
"http://purl.uniprot.org/uniprot/A4JL30"	"A4JL30_BURVG"	2	8	8	4	0	"3-oxoacyl-[acyl-carrier-protein] synthase 2"
"http://purl.uniprot.org/uniprot/A4PB64"	"A4PB64_9PROT"	3	4.5	5	4	0.5	NA
"http://purl.uniprot.org/uniprot/A4PEU6"	"A4PEU6_9SPHN"	8	8	8	4	0	"Haloalkane dehalogenase"
"http://purl.uniprot.org/uniprot/A4PHN0"	"A4PHN0_STRVG"	3	NA	NA	0	NA	NA
"http://purl.uniprot.org/uniprot/A4PHY4"	"A4PHY4_CHRMO"	3	6.5	6.5	2	0	NA
"http://purl.uniprot.org/uniprot/A4SNL2"	"A4SNL2_AERS4"	2	5.5	8.5	3	3	NA
"http://purl.uniprot.org/uniprot/A4TVL0"	"A4TVL0_9PROT"	9	NA	NA	12	NA	NA
"http://purl.uniprot.org/uniprot/A4V2Z1"	"A4V2Z1_DROME"	2	6.6	7.2	2	0.600000000000001	NA
"http://purl.uniprot.org/uniprot/A4V8M9"	"A4V8M9_9MICC"	4	7	7	8	0	NA
"http://purl.uniprot.org/uniprot/A4VVI4"	"UXUA_STRSY"	2	6.5	6.5	2	0	"Mannonate dehydratase"
"http://purl.uniprot.org/uniprot/A4VVI4"	"A4VVI4_STRSY"	2	NA	NA	3	NA	"Mannonate dehydratase"
"http://purl.uniprot.org/uniprot/A4VVQ2"	"A4VVQ2_STRSY"	2	NA	NA	4	NA	NA
"http://purl.uniprot.org/uniprot/A4VZ16"	"A4VZ16_STRS2"	2	4.5	7.5	3	3	NA
"http://purl.uniprot.org/uniprot/A4X3Q0"	"A4X3Q0_9ACTO"	4	7	7	7	0	"Adenosyl-chloride synthase"
"http://purl.uniprot.org/uniprot/A4XF23"	"A4XF23_NOVAD"	5	5.5	8.5	9	3	"D-mannonate dehydratase"
"http://purl.uniprot.org/uniprot/A4XGP2"	"A4XGP2_CALS8"	2	6.5	8.5	5	2	NA
"http://purl.uniprot.org/uniprot/A4Y1H6"	"A4Y1H6_SHEPC"	2	4.5	8.5	5	4	NA
"http://purl.uniprot.org/uniprot/A4YHC5"	"A4YHC5_METS5"	3	5.6	8.8	2	3.2	NA
"http://purl.uniprot.org/uniprot/A4YI54"	"A4YI54_METS5"	2	4.5	4.6	6	0.0999999999999996	NA
"http://purl.uniprot.org/uniprot/A4YVM8"	"A4YVM8_BRASO"	2	4.5	5.5	9	1	NA
"http://purl.uniprot.org/uniprot/A4ZF98"	"A4ZF98_9CAUD"	8	NA	NA	7	NA	NA
"http://purl.uniprot.org/uniprot/A4ZKE4"	"A4ZKE4_COFCA"	3	6.5	9	4	2.5	NA
"http://purl.uniprot.org/uniprot/A4ZPY8"	"A4ZPY8_CHRVL"	3	4.6	5	8	0.4	NA
"http://purl.uniprot.org/uniprot/A4ZVL3"	"A4ZVL3_PSEU7"	2	6.5	6.5	2	0	NA
"http://purl.uniprot.org/uniprot/A5CLK3"	"A5CLK3_CLAM3"	3	5.5	7.3	4	1.8	NA
"http://purl.uniprot.org/uniprot/A5EI34"	"A5EI34_BRASB"	2	6.9	8.5	2	1.6	NA
"http://purl.uniprot.org/uniprot/A5EXI3"	"A5EXI3_DICNV"	2	6.5	6.5	2	0	NA
"http://purl.uniprot.org/uniprot/A5F0Q0"	"A5F0Q0_VIBC3"	3	5	6	3	1	NA
"http://purl.uniprot.org/uniprot/A5F6D4"	"A5F6D4_VIBC3"	2	6	6	4	0	NA
"http://purl.uniprot.org/uniprot/A5F6J9"	"A5F6J9_VIBC3"	2	8	8	2	0	NA
"http://purl.uniprot.org/uniprot/A5F8G9"	"ACYP_VIBC3"	2	7	9	3	2	"Acylphosphatase"
"http://purl.uniprot.org/uniprot/A5GZW8"	"DHSD_PIG"	20	7.2	8	28	0.8	"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"
"http://purl.uniprot.org/uniprot/A5H025"	"A5H025_PIG"	2	7	7	4	0	NA
"http://purl.uniprot.org/uniprot/A5H1I6"	"A5H1I6_9BACL"	4	4.6	4.6	4	0	NA
"http://purl.uniprot.org/uniprot/A5H660"	"A5H660_SCHMA"	7	NA	NA	12	NA	NA
"http://purl.uniprot.org/uniprot/A5HC98"	"A5HC98_BUNLC"	4	7	7.5	3	0.5	NA
"http://purl.uniprot.org/uniprot/A5HZZ9"	"BXA1_CLOBH"	22	5.5	8.5	16	3	"Botulinum neurotoxin type A"
"http://purl.uniprot.org/uniprot/A5IFX1"	"A5IFX1_LEGPC"	3	4.8	8	4	3.2	NA
"http://purl.uniprot.org/uniprot/A5IHF0"	"A5IHF0_LEGPC"	3	4.7	4.7	1	0	NA
"http://purl.uniprot.org/uniprot/A5IKD4"	"A5IKD4_THEP1"	2	5	5	4	0	"Extracellular endo-alpha-(1->5)-L-arabinanase"
"http://purl.uniprot.org/uniprot/A5IL00"	"A5IL00_THEP1"	2	4.3	4.3	4	0	"Beta-xylanase"
"http://purl.uniprot.org/uniprot/A5IMX7"	"A5IMX7_THEP1"	7	4.2	5.5	7	1.3	NA
"http://purl.uniprot.org/uniprot/A5J299"	"A5J299_LITVA"	3	8.5	8.5	5	0	"Nucleoside diphosphate kinase"
